situation_professionnelle,duree_emploie,revenu_mensuel,secteur_activite,type_contrat,score_professionnelle
independant,20.0,1650733,informatique,freelance,90
etudiant,1.0,289588,education,stage,77
retraite,30.0,765384,sante,freelance,90
independant,31.0,3392824,sante,freelance,90
independant,10.0,3876267,agriculture,freelance,90
employe,2.0,2500771,education,cdd,90
sans_emploi,,0,,,73
employe,30.0,1749034,sante,cdd,90
sans_emploi,,0,,,76
sans_emploi,,0,,,71
employe,32.0,1946139,agriculture,cdd,90
retraite,35.0,570258,sante,freelance,90
employe,31.0,2152037,commerce,stage,90
employe,4.0,3156711,sante,cdi,90
independant,37.0,1506746,informatique,stage,90
independant,13.0,1538562,autres,cdd,86
retraite,31.0,772111,sante,freelance,90
etudiant,3.0,445764,education,stage,89
etudiant,4.0,483434,education,stage,70
retraite,24.0,633533,sante,freelance,79
sans_emploi,,0,,,76
etudiant,5.0,474224,education,stage,67
employe,36.0,2359079,education,cdd,90
sans_emploi,,0,,,79
independant,33.0,2265102,informatique,stage,83
independant,13.0,3297447,sante,cdi,90
etudiant,3.0,303586,education,stage,62
independant,33.0,1857832,informatique,cdi,90
etudiant,0.0,243181,education,stage,74
independant,4.0,3703294,autres,stage,78
etudiant,2.0,369164,education,stage,76
retraite,23.0,577176,education,freelance,90
sans_emploi,,0,,,68
employe,27.0,2166683,informatique,cdi,90
sans_emploi,,0,,,90
retraite,31.0,603996,education,freelance,86
retraite,30.0,916815,education,freelance,90
retraite,40.0,841477,education,freelance,90
etudiant,1.0,368694,education,stage,87
independant,23.0,3478951,agriculture,cdd,81
sans_emploi,,0,,,71
sans_emploi,,0,,,74
independant,31.0,3899030,autres,cdi,90
retraite,27.0,423822,sante,freelance,86
employe,35.0,3883571,commerce,freelance,90
employe,17.0,3579293,commerce,stage,90
etudiant,2.0,321168,education,stage,81
employe,25.0,2040553,industrie,freelance,90
retraite,22.0,950388,sante,freelance,90
etudiant,3.0,335789,education,stage,64
sans_emploi,,0,,,74
sans_emploi,,0,,,68
etudiant,4.0,259114,education,stage,89
sans_emploi,,0,,,62
sans_emploi,,0,,,83
employe,3.0,3301569,industrie,cdd,90
retraite,40.0,756173,education,freelance,63
etudiant,1.0,264017,education,stage,57
etudiant,3.0,302853,education,stage,76
retraite,35.0,576662,education,freelance,90
etudiant,3.0,213738,education,stage,63
etudiant,4.0,489942,education,stage,76
etudiant,5.0,349801,education,stage,90
employe,13.0,2682821,education,cdd,90
sans_emploi,,0,,,79
employe,31.0,1160290,commerce,cdi,90
independant,17.0,1394976,commerce,cdd,86
employe,37.0,1090760,commerce,cdd,90
etudiant,3.0,369367,education,stage,64
independant,25.0,1317362,agriculture,temporaire,90
etudiant,0.0,227911,education,stage,67
retraite,39.0,793589,sante,freelance,90
employe,39.0,2514519,agriculture,cdi,90
independant,2.0,3858685,services,stage,90
etudiant,3.0,395299,education,stage,63
employe,39.0,1097118,autres,cdi,90
etudiant,1.0,465766,education,stage,63
etudiant,5.0,365448,education,stage,75
etudiant,4.0,431272,education,stage,69
retraite,25.0,583907,sante,freelance,90
sans_emploi,,0,,,76
retraite,38.0,610013,education,freelance,84
etudiant,4.0,334502,education,stage,60
etudiant,3.0,454821,education,stage,72
independant,12.0,2672921,services,cdi,90
sans_emploi,,0,,,49
independant,17.0,2688838,industrie,cdd,88
sans_emploi,,0,,,65
employe,37.0,1702270,services,temporaire,87
retraite,33.0,828543,sante,freelance,90
employe,11.0,1601125,commerce,cdi,90
employe,11.0,3899749,commerce,cdi,90
retraite,31.0,957529,education,freelance,79
sans_emploi,,0,,,67
employe,23.0,1179062,education,cdd,90
employe,25.0,2356023,industrie,cdd,90
employe,1.0,3632825,commerce,stage,82
employe,30.0,3582085,informatique,cdd,90
etudiant,1.0,350360,education,stage,90
employe,6.0,1466660,sante,stage,90
etudiant,4.0,332771,education,stage,58
etudiant,1.0,459293,education,stage,64
retraite,32.0,657117,education,freelance,74
etudiant,4.0,217569,education,stage,65
sans_emploi,,0,,,79
employe,12.0,1779305,agriculture,cdd,90
independant,12.0,3668168,agriculture,cdi,90
independant,16.0,1913320,autres,cdi,90
sans_emploi,,0,,,90
sans_emploi,,0,,,69
etudiant,2.0,218485,education,stage,68
independant,2.0,2709957,industrie,freelance,88
retraite,39.0,514471,sante,freelance,85
retraite,37.0,796236,education,freelance,80
retraite,32.0,668486,sante,freelance,76
employe,3.0,3884819,industrie,stage,90
employe,34.0,1499318,autres,stage,89
employe,14.0,3526975,sante,cdi,90
sans_emploi,,0,,,90
sans_emploi,,0,,,90
etudiant,3.0,489217,education,stage,34
employe,26.0,1708386,services,cdd,90
etudiant,3.0,415580,education,stage,84
employe,33.0,2830752,services,cdd,90
independant,16.0,3396978,industrie,cdi,90
retraite,33.0,636217,education,freelance,90
retraite,35.0,685217,education,freelance,90
retraite,29.0,520373,education,freelance,90
retraite,31.0,467038,education,freelance,84
etudiant,1.0,433951,education,stage,70
etudiant,5.0,472356,education,stage,74
retraite,30.0,734826,education,freelance,90
sans_emploi,,0,,,69
employe,25.0,1226198,informatique,temporaire,90
etudiant,2.0,300265,education,stage,88
independant,2.0,3306464,services,temporaire,72
retraite,21.0,850266,education,freelance,90
etudiant,5.0,207882,education,stage,90
independant,9.0,1241898,informatique,stage,90
employe,0.0,1848444,commerce,cdd,90
employe,20.0,2929029,education,cdi,90
etudiant,1.0,339273,education,stage,90
employe,39.0,2834625,industrie,temporaire,90
independant,22.0,1752067,services,freelance,90
retraite,22.0,942507,education,freelance,90
independant,19.0,3637286,autres,temporaire,90
etudiant,4.0,315662,education,stage,87
employe,17.0,2201910,sante,cdi,90
retraite,30.0,821828,education,freelance,90
employe,32.0,3576450,commerce,cdd,90
sans_emploi,,0,,,76
sans_emploi,,0,,,77
retraite,35.0,435332,education,freelance,90
retraite,34.0,902183,education,freelance,90
independant,25.0,3034951,industrie,cdd,90
independant,22.0,1607059,autres,freelance,90
employe,34.0,1322698,industrie,stage,90
retraite,25.0,539584,sante,freelance,80
employe,36.0,3670374,education,freelance,90
independant,13.0,1554950,education,temporaire,79
retraite,22.0,629182,education,freelance,86
retraite,23.0,682349,education,freelance,66
independant,5.0,2416405,informatique,cdd,90
employe,22.0,1769533,services,temporaire,90
employe,20.0,3420825,industrie,cdd,90
retraite,30.0,814310,education,freelance,90
sans_emploi,,0,,,59
retraite,23.0,438439,education,freelance,90
retraite,29.0,650251,education,freelance,90
employe,30.0,1274552,commerce,temporaire,90
employe,5.0,3149007,agriculture,temporaire,90
retraite,35.0,926540,sante,freelance,90
employe,9.0,3749116,sante,temporaire,90
independant,8.0,1070745,sante,stage,79
sans_emploi,,0,,,66
etudiant,4.0,419147,education,stage,69
retraite,27.0,602304,sante,freelance,86
sans_emploi,,0,,,60
sans_emploi,,0,,,74
independant,35.0,1776513,sante,stage,90
retraite,26.0,482872,education,freelance,78
retraite,22.0,532701,sante,freelance,90
retraite,36.0,841604,education,freelance,90
employe,21.0,3094372,autres,cdd,90
retraite,29.0,458603,sante,freelance,90
employe,21.0,2707065,education,cdd,90
independant,17.0,2639267,services,freelance,90
employe,31.0,2591282,services,temporaire,90
sans_emploi,,0,,,87
independant,24.0,2538972,agriculture,stage,78
etudiant,5.0,407786,education,stage,70
employe,15.0,2233227,agriculture,temporaire,90
sans_emploi,,0,,,78
retraite,31.0,471743,sante,freelance,90
etudiant,0.0,220758,education,stage,67
independant,35.0,1570281,services,cdd,87
etudiant,0.0,379517,education,stage,59
sans_emploi,,0,,,79
employe,9.0,2504457,sante,stage,90
retraite,36.0,588362,sante,freelance,90
employe,40.0,1700325,industrie,temporaire,90
retraite,28.0,855127,education,freelance,90
independant,4.0,3821427,commerce,freelance,81
etudiant,5.0,485930,education,stage,63
independant,1.0,2956447,education,cdi,84
sans_emploi,,0,,,67
employe,40.0,2323799,commerce,cdi,90
sans_emploi,,0,,,64
etudiant,1.0,268890,education,stage,86
retraite,22.0,680995,education,freelance,90
etudiant,0.0,246559,education,stage,65
independant,10.0,2518795,informatique,cdd,90
sans_emploi,,0,,,72
retraite,26.0,967733,sante,freelance,90
employe,20.0,1164284,informatique,freelance,90
sans_emploi,,0,,,71
sans_emploi,,0,,,63
etudiant,4.0,345046,education,stage,73
etudiant,3.0,301234,education,stage,69
independant,5.0,2682383,sante,stage,82
independant,35.0,3620528,sante,freelance,90
independant,35.0,3793656,industrie,cdi,90
retraite,34.0,912109,sante,freelance,74
employe,15.0,2594761,education,cdi,90
sans_emploi,,0,,,78
independant,35.0,3452879,informatique,cdi,90
independant,28.0,2870945,services,freelance,78
sans_emploi,,0,,,70
independant,0.0,3315178,education,cdd,80
independant,40.0,2535952,autres,freelance,90
etudiant,2.0,467177,education,stage,79
etudiant,1.0,288868,education,stage,89
employe,29.0,2978354,education,stage,90
employe,19.0,3825967,informatique,cdd,90
sans_emploi,,0,,,76
etudiant,4.0,224382,education,stage,69
independant,14.0,1235997,industrie,stage,90
retraite,35.0,425501,sante,freelance,87
etudiant,2.0,230962,education,stage,82
employe,16.0,1068223,agriculture,stage,90
sans_emploi,,0,,,63
sans_emploi,,0,,,81
etudiant,5.0,278328,education,stage,79
independant,6.0,1726917,education,temporaire,77
sans_emploi,,0,,,81
independant,33.0,3489827,education,temporaire,90
etudiant,4.0,442396,education,stage,73
employe,6.0,1878114,services,stage,90
employe,36.0,3784397,agriculture,freelance,90
employe,26.0,1375970,education,temporaire,90
employe,26.0,3317223,informatique,temporaire,90
employe,34.0,1343354,informatique,stage,90
independant,10.0,1696862,agriculture,temporaire,90
etudiant,3.0,319404,education,stage,75
independant,21.0,2506486,informatique,cdd,90
sans_emploi,,0,,,69
retraite,35.0,814606,education,freelance,90
independant,13.0,2693185,agriculture,temporaire,84
sans_emploi,,0,,,47
independant,24.0,2613279,informatique,cdd,90
etudiant,3.0,366569,education,stage,55
etudiant,4.0,419435,education,stage,53
etudiant,0.0,429571,education,stage,76
employe,30.0,3758183,sante,cdi,90
independant,22.0,3717596,sante,temporaire,90
retraite,27.0,936409,sante,freelance,90
etudiant,1.0,273464,education,stage,67
etudiant,5.0,430712,education,stage,82
sans_emploi,,0,,,47
sans_emploi,,0,,,87
etudiant,4.0,229714,education,stage,88
retraite,23.0,633074,sante,freelance,90
sans_emploi,,0,,,63
etudiant,1.0,388457,education,stage,81
employe,23.0,2748037,services,cdi,90
retraite,20.0,612058,education,freelance,89
independant,23.0,2123076,education,freelance,90
independant,39.0,3389063,informatique,freelance,90
retraite,27.0,406105,sante,freelance,79
etudiant,4.0,235372,education,stage,75
employe,5.0,3286442,agriculture,freelance,90
employe,16.0,2530508,industrie,temporaire,90
employe,19.0,2319155,commerce,cdi,90
independant,7.0,1907744,education,cdi,90
etudiant,3.0,387375,education,stage,82
independant,25.0,1510362,commerce,cdd,90
employe,37.0,2203079,informatique,cdd,90
independant,7.0,2433131,industrie,stage,90
independant,23.0,3886667,agriculture,freelance,90
etudiant,1.0,374768,education,stage,80
sans_emploi,,0,,,85
etudiant,0.0,288425,education,stage,79
independant,28.0,3637129,sante,cdi,90
employe,11.0,1738157,services,freelance,90
employe,31.0,2540802,commerce,freelance,90
sans_emploi,,0,,,56
sans_emploi,,0,,,77
independant,8.0,2975862,autres,temporaire,90
sans_emploi,,0,,,68
etudiant,5.0,241970,education,stage,85
etudiant,3.0,224346,education,stage,53
etudiant,0.0,467919,education,stage,69
sans_emploi,,0,,,83
employe,39.0,3954471,services,temporaire,90
sans_emploi,,0,,,78
retraite,29.0,889408,education,freelance,90
employe,28.0,1054450,agriculture,cdd,90
etudiant,2.0,215979,education,stage,79
retraite,29.0,912805,education,freelance,90
employe,14.0,2302077,services,cdd,90
retraite,33.0,857956,education,freelance,76
etudiant,3.0,341461,education,stage,62
sans_emploi,,0,,,61
independant,10.0,3198263,autres,cdi,90
independant,18.0,1153535,commerce,cdd,88
retraite,32.0,541613,education,freelance,90
sans_emploi,,0,,,71
retraite,21.0,970801,education,freelance,90
employe,17.0,3767065,education,temporaire,90
etudiant,5.0,358788,education,stage,56
retraite,21.0,432674,sante,freelance,83
independant,6.0,3099136,agriculture,freelance,90
independant,21.0,1494661,informatique,stage,89
independant,10.0,2069061,industrie,stage,87
retraite,39.0,479072,education,freelance,90
etudiant,1.0,402753,education,stage,69
retraite,33.0,425964,sante,freelance,90
sans_emploi,,0,,,71
independant,29.0,3220870,services,freelance,90
retraite,27.0,417474,education,freelance,90
etudiant,5.0,314159,education,stage,59
employe,8.0,2081375,commerce,cdd,90
retraite,37.0,426102,sante,freelance,82
etudiant,2.0,441647,education,stage,60
etudiant,5.0,463761,education,stage,66
etudiant,5.0,245658,education,stage,84
independant,13.0,3213439,services,cdi,90
employe,2.0,3250750,sante,stage,90
etudiant,1.0,269044,education,stage,62
retraite,31.0,837607,education,freelance,90
independant,13.0,1006021,commerce,freelance,90
retraite,20.0,465741,education,freelance,90
etudiant,1.0,364069,education,stage,71
employe,40.0,3107741,informatique,freelance,90
sans_emploi,,0,,,69
etudiant,1.0,379857,education,stage,59
sans_emploi,,0,,,77
retraite,35.0,689795,sante,freelance,90
employe,16.0,1366837,sante,cdd,90
sans_emploi,,0,,,73
etudiant,4.0,214336,education,stage,84
retraite,37.0,481071,sante,freelance,73
employe,12.0,3549528,education,cdi,90
independant,18.0,3432317,services,cdd,87
independant,11.0,3640463,industrie,cdi,90
etudiant,3.0,477108,education,stage,90
retraite,22.0,578958,education,freelance,90
retraite,33.0,936411,sante,freelance,82
etudiant,3.0,206650,education,stage,76
etudiant,1.0,359140,education,stage,50
employe,12.0,2305736,informatique,cdd,90
etudiant,0.0,491067,education,stage,76
etudiant,2.0,440070,education,stage,73
retraite,22.0,933705,sante,freelance,90
retraite,31.0,901696,education,freelance,89
employe,10.0,3837272,education,freelance,90
employe,10.0,1388007,informatique,temporaire,90
etudiant,5.0,442389,education,stage,78
etudiant,4.0,241376,education,stage,81
sans_emploi,,0,,,70
independant,20.0,2465237,informatique,temporaire,89
employe,21.0,1215429,autres,temporaire,90
independant,26.0,2751097,services,temporaire,90
employe,27.0,2894174,sante,cdd,90
independant,33.0,3002786,autres,stage,90
etudiant,2.0,331801,education,stage,56
retraite,24.0,452825,education,freelance,90
retraite,40.0,795982,education,freelance,83
retraite,27.0,921404,education,freelance,73
employe,8.0,2592514,education,freelance,90
retraite,38.0,628227,education,freelance,90
employe,7.0,2049063,agriculture,cdi,90
sans_emploi,,0,,,79
independant,9.0,1620040,industrie,cdd,90
independant,18.0,2843391,informatique,stage,76
retraite,28.0,827537,sante,freelance,90
retraite,31.0,478790,education,freelance,90
sans_emploi,,0,,,84
etudiant,0.0,353053,education,stage,85
employe,11.0,3416378,autres,freelance,90
employe,21.0,2253888,agriculture,stage,90
etudiant,4.0,489274,education,stage,76
retraite,40.0,463028,education,freelance,83
sans_emploi,,0,,,63
independant,14.0,2703208,agriculture,freelance,90
independant,11.0,2065065,education,freelance,90
etudiant,3.0,336777,education,stage,52
retraite,31.0,837032,education,freelance,90
employe,1.0,2259193,education,freelance,90
etudiant,1.0,407855,education,stage,58
sans_emploi,,0,,,49
sans_emploi,,0,,,80
sans_emploi,,0,,,66
retraite,22.0,873086,education,freelance,88
sans_emploi,,0,,,62
sans_emploi,,0,,,67
retraite,20.0,680945,education,freelance,90
sans_emploi,,0,,,58
retraite,32.0,882547,education,freelance,90
etudiant,4.0,315210,education,stage,73
retraite,37.0,466598,sante,freelance,90
etudiant,3.0,374667,education,stage,90
retraite,29.0,420620,sante,freelance,82
retraite,37.0,533485,sante,freelance,90
employe,9.0,2983205,industrie,temporaire,90
independant,10.0,3934444,commerce,stage,90
employe,31.0,3954477,commerce,cdi,90
etudiant,0.0,336411,education,stage,75
sans_emploi,,0,,,83
retraite,38.0,454469,sante,freelance,80
etudiant,1.0,259232,education,stage,90
independant,12.0,2021989,agriculture,freelance,82
etudiant,2.0,210413,education,stage,66
etudiant,1.0,345933,education,stage,72
sans_emploi,,0,,,90
sans_emploi,,0,,,61
sans_emploi,,0,,,74
retraite,38.0,708260,education,freelance,90
sans_emploi,,0,,,51
sans_emploi,,0,,,50
independant,37.0,3481800,sante,freelance,85
sans_emploi,,0,,,68
sans_emploi,,0,,,87
etudiant,1.0,269588,education,stage,64
employe,34.0,2967311,informatique,stage,90
retraite,38.0,772980,education,freelance,90
retraite,32.0,756210,sante,freelance,73
independant,20.0,3267352,informatique,cdd,90
independant,10.0,3824179,agriculture,stage,90
employe,19.0,3983055,services,freelance,90
retraite,33.0,987487,sante,freelance,90
sans_emploi,,0,,,72
independant,35.0,3783927,autres,stage,90
etudiant,5.0,205627,education,stage,81
sans_emploi,,0,,,56
retraite,32.0,416108,sante,freelance,76
retraite,40.0,806507,sante,freelance,82
retraite,33.0,584785,sante,freelance,90
independant,24.0,3424504,autres,stage,73
employe,39.0,3612870,informatique,freelance,90
independant,13.0,1822959,education,cdi,90
sans_emploi,,0,,,75
retraite,35.0,538396,education,freelance,90
independant,23.0,2511607,services,freelance,89
retraite,33.0,824126,education,freelance,90
retraite,21.0,595305,sante,freelance,90
sans_emploi,,0,,,79
retraite,23.0,782167,education,freelance,90
sans_emploi,,0,,,47
sans_emploi,,0,,,66
employe,30.0,3653165,autres,temporaire,90
independant,25.0,2891958,services,cdi,90
independant,14.0,1357767,industrie,cdd,90
etudiant,3.0,390213,education,stage,65
employe,29.0,2047314,services,cdi,90
retraite,23.0,456586,sante,freelance,84
sans_emploi,,0,,,90
etudiant,3.0,278459,education,stage,79
retraite,24.0,541673,education,freelance,90
independant,11.0,1573751,industrie,cdi,90
etudiant,2.0,397096,education,stage,50
independant,10.0,2676083,industrie,cdd,90
sans_emploi,,0,,,60
employe,16.0,3553883,education,cdi,90
sans_emploi,,0,,,72
retraite,36.0,681729,education,freelance,90
employe,22.0,2912991,autres,stage,87
retraite,21.0,598242,education,freelance,90
independant,5.0,1637402,commerce,cdd,79
employe,2.0,2258781,informatique,cdd,90
sans_emploi,,0,,,86
employe,14.0,2473199,autres,temporaire,90
independant,37.0,1610433,autres,stage,88
retraite,30.0,752240,sante,freelance,90
etudiant,4.0,328943,education,stage,45
etudiant,5.0,452777,education,stage,59
retraite,25.0,967049,sante,freelance,90
retraite,34.0,445310,sante,freelance,90
independant,39.0,1769940,education,freelance,90
employe,30.0,2928558,commerce,cdi,90
retraite,39.0,702657,sante,freelance,79
employe,16.0,2650148,industrie,freelance,90
employe,5.0,2039684,sante,cdi,90
employe,18.0,2776515,sante,stage,90
etudiant,3.0,452755,education,stage,72
sans_emploi,,0,,,66
employe,5.0,1073889,commerce,temporaire,90
employe,13.0,1378940,autres,stage,90
sans_emploi,,0,,,45
sans_emploi,,0,,,79
independant,37.0,3916753,industrie,stage,75
etudiant,0.0,328268,education,stage,78
retraite,26.0,473945,education,freelance,75
etudiant,5.0,382717,education,stage,70
employe,30.0,2322894,services,temporaire,90
employe,29.0,3531887,sante,freelance,90
employe,11.0,2527801,autres,cdi,90
sans_emploi,,0,,,90
retraite,33.0,730574,education,freelance,90
retraite,40.0,768407,sante,freelance,90
independant,5.0,3370152,informatique,temporaire,78
retraite,34.0,664695,education,freelance,80
retraite,40.0,528299,sante,freelance,90
independant,29.0,2851409,informatique,stage,90
employe,30.0,1759943,industrie,stage,90
etudiant,2.0,221617,education,stage,79
independant,40.0,1994575,sante,freelance,90
etudiant,1.0,482191,education,stage,81
independant,12.0,1180255,sante,stage,80
etudiant,2.0,281640,education,stage,77
independant,39.0,3744640,education,freelance,90
etudiant,2.0,242936,education,stage,68
retraite,25.0,542884,sante,freelance,71
employe,0.0,1814435,autres,cdd,90
etudiant,3.0,400925,education,stage,67
etudiant,2.0,390497,education,stage,61
independant,21.0,3947597,sante,cdd,90
independant,37.0,1684321,commerce,freelance,90
independant,15.0,1892079,agriculture,cdd,85
employe,30.0,1728780,commerce,temporaire,90
etudiant,0.0,305599,education,stage,63
retraite,34.0,964908,sante,freelance,88
independant,29.0,2488171,autres,stage,77
retraite,23.0,821036,education,freelance,90
retraite,28.0,725194,education,freelance,90
employe,24.0,3707466,commerce,cdd,90
sans_emploi,,0,,,79
independant,11.0,1406281,education,cdd,90
employe,19.0,2747372,industrie,cdi,90
independant,36.0,1634492,education,cdd,90
etudiant,3.0,238289,education,stage,64
etudiant,4.0,231065,education,stage,76
etudiant,5.0,296508,education,stage,85
employe,35.0,2451214,commerce,cdd,90
retraite,33.0,915580,education,freelance,90
sans_emploi,,0,,,56
independant,34.0,1981068,informatique,cdd,90
employe,25.0,3235869,services,freelance,90
independant,8.0,2685524,services,temporaire,90
independant,37.0,2601486,education,freelance,90
independant,12.0,2291827,informatique,cdd,90
sans_emploi,,0,,,89
retraite,33.0,757640,education,freelance,90
retraite,30.0,612601,sante,freelance,78
etudiant,5.0,440724,education,stage,65
independant,13.0,2713282,services,cdd,90
etudiant,1.0,405213,education,stage,80
sans_emploi,,0,,,80
retraite,36.0,433197,sante,freelance,80
employe,16.0,2414323,industrie,cdd,90
etudiant,0.0,401823,education,stage,63
sans_emploi,,0,,,50
etudiant,5.0,238595,education,stage,70
sans_emploi,,0,,,90
retraite,26.0,629287,sante,freelance,90
retraite,40.0,999371,sante,freelance,87
sans_emploi,,0,,,69
retraite,26.0,964490,sante,freelance,90
sans_emploi,,0,,,77
independant,40.0,1325335,industrie,freelance,86
etudiant,4.0,223001,education,stage,76
etudiant,2.0,427742,education,stage,88
independant,35.0,3968905,commerce,freelance,87
retraite,34.0,461307,education,freelance,88
sans_emploi,,0,,,73
retraite,28.0,966920,sante,freelance,88
independant,26.0,2825490,commerce,cdi,90
independant,12.0,3109946,education,freelance,84
independant,12.0,3324187,informatique,stage,90
employe,29.0,2013342,education,freelance,90
sans_emploi,,0,,,41
independant,31.0,2509677,commerce,freelance,90
etudiant,2.0,264492,education,stage,75
sans_emploi,,0,,,62
employe,18.0,3103801,agriculture,freelance,90
sans_emploi,,0,,,62
etudiant,2.0,487239,education,stage,57
etudiant,1.0,431797,education,stage,72
employe,30.0,1624116,agriculture,temporaire,90
independant,8.0,3881634,education,temporaire,90
sans_emploi,,0,,,58
etudiant,3.0,203564,education,stage,72
independant,13.0,2524991,services,stage,84
independant,36.0,2589504,agriculture,freelance,90
retraite,29.0,839469,sante,freelance,90
retraite,21.0,609862,education,freelance,90
employe,33.0,2874783,sante,freelance,90
retraite,37.0,807670,sante,freelance,86
employe,34.0,1729013,education,cdd,90
employe,4.0,3324155,education,cdd,90
independant,34.0,2860454,agriculture,temporaire,86
independant,14.0,3073845,commerce,freelance,90
employe,21.0,1490357,services,cdi,90
etudiant,4.0,280432,education,stage,88
employe,11.0,1610033,services,freelance,90
etudiant,5.0,207401,education,stage,76
etudiant,4.0,271303,education,stage,59
employe,25.0,1370735,informatique,freelance,90
retraite,39.0,526874,education,freelance,90
employe,33.0,1670566,sante,cdd,90
retraite,36.0,650220,sante,freelance,87
retraite,37.0,473197,education,freelance,90
independant,24.0,1990036,agriculture,cdd,90
independant,13.0,2225192,industrie,freelance,90
etudiant,2.0,280125,education,stage,59
etudiant,3.0,462564,education,stage,73
retraite,26.0,535600,sante,freelance,90
independant,15.0,3345372,sante,temporaire,90
retraite,21.0,957346,sante,freelance,90
retraite,37.0,477541,sante,freelance,90
employe,37.0,2930824,industrie,cdi,90
employe,30.0,3534041,education,cdd,90
retraite,25.0,673889,sante,freelance,87
independant,11.0,2642133,services,stage,90
employe,30.0,2800401,autres,cdd,90
retraite,30.0,776359,education,freelance,90
employe,39.0,1392021,agriculture,temporaire,90
sans_emploi,,0,,,57
etudiant,2.0,327351,education,stage,58
retraite,21.0,932268,education,freelance,90
independant,8.0,1998111,sante,stage,90
etudiant,1.0,442301,education,stage,80
employe,3.0,2557990,agriculture,stage,90
retraite,28.0,511998,sante,freelance,76
retraite,27.0,486121,education,freelance,81
employe,11.0,2971581,agriculture,stage,90
retraite,36.0,643246,education,freelance,90
retraite,25.0,594498,sante,freelance,76
sans_emploi,,0,,,62
retraite,23.0,776604,sante,freelance,86
sans_emploi,,0,,,62
independant,7.0,1205337,services,freelance,79
independant,7.0,3756892,services,freelance,90
sans_emploi,,0,,,64
employe,37.0,3367621,industrie,stage,90
independant,15.0,1630094,industrie,cdi,90
retraite,26.0,959092,education,freelance,90
etudiant,2.0,223342,education,stage,65
retraite,32.0,885117,education,freelance,90
sans_emploi,,0,,,90
etudiant,4.0,315455,education,stage,64
etudiant,4.0,469759,education,stage,77
retraite,31.0,825940,sante,freelance,90
independant,12.0,3004984,industrie,stage,72
etudiant,5.0,237795,education,stage,82
independant,31.0,1839728,autres,cdd,90
independant,33.0,1313127,education,cdi,90
independant,38.0,3262851,services,stage,84
etudiant,0.0,212321,education,stage,74
independant,25.0,1054666,informatique,stage,88
sans_emploi,,0,,,76
independant,35.0,1754972,services,stage,76
employe,37.0,2114291,sante,cdd,90
retraite,39.0,693036,sante,freelance,90
independant,38.0,3067177,industrie,freelance,90
retraite,26.0,778987,education,freelance,90
employe,34.0,2055393,sante,temporaire,90
employe,15.0,1445387,services,temporaire,90
etudiant,3.0,340149,education,stage,59
sans_emploi,,0,,,84
independant,33.0,2650470,autres,stage,89
independant,23.0,3641909,autres,cdd,80
retraite,40.0,916172,sante,freelance,73
retraite,24.0,768100,education,freelance,90
independant,30.0,3127901,agriculture,temporaire,90
sans_emploi,,0,,,75
employe,36.0,1970211,agriculture,cdi,90
etudiant,4.0,343439,education,stage,66
retraite,40.0,958494,sante,freelance,80
independant,39.0,2777035,commerce,temporaire,90
etudiant,1.0,254826,education,stage,56
employe,8.0,3198560,education,temporaire,90
retraite,36.0,778487,education,freelance,90
retraite,29.0,848217,sante,freelance,85
employe,27.0,3163470,informatique,stage,90
retraite,29.0,961163,education,freelance,90
sans_emploi,,0,,,65
employe,12.0,3313156,education,stage,90
independant,29.0,1616512,autres,cdi,90
retraite,38.0,834420,education,freelance,71
retraite,34.0,689403,sante,freelance,84
independant,3.0,3593717,services,cdd,78
retraite,39.0,598700,sante,freelance,84
retraite,36.0,539018,education,freelance,87
independant,16.0,2210194,education,temporaire,90
etudiant,5.0,383029,education,stage,65
employe,10.0,3140444,informatique,cdi,90
etudiant,0.0,223613,education,stage,49
etudiant,4.0,411027,education,stage,65
retraite,23.0,816706,sante,freelance,90
sans_emploi,,0,,,77
employe,36.0,1514839,sante,freelance,90
etudiant,1.0,383447,education,stage,74
etudiant,5.0,274763,education,stage,69
employe,25.0,2123251,sante,freelance,90
independant,21.0,3632262,autres,stage,90
independant,36.0,2139291,industrie,freelance,90
sans_emploi,,0,,,74
independant,26.0,1768546,informatique,cdd,86
employe,35.0,1562850,agriculture,stage,90
retraite,22.0,902964,education,freelance,90
independant,18.0,2399387,industrie,cdd,82
etudiant,2.0,336253,education,stage,61
employe,20.0,2543893,agriculture,temporaire,90
independant,2.0,2804506,services,cdi,85
employe,6.0,1253339,services,stage,90
sans_emploi,,0,,,73
etudiant,4.0,347763,education,stage,56
employe,18.0,2523752,commerce,temporaire,90
retraite,40.0,725331,education,freelance,90
retraite,30.0,663924,sante,freelance,89
etudiant,2.0,351984,education,stage,90
employe,2.0,2774619,services,temporaire,90
retraite,39.0,945890,sante,freelance,85
retraite,20.0,812583,education,freelance,75
sans_emploi,,0,,,73
employe,6.0,1327025,informatique,cdi,90
sans_emploi,,0,,,71
independant,1.0,3181639,informatique,cdi,90
etudiant,2.0,455204,education,stage,57
sans_emploi,,0,,,65
etudiant,3.0,363798,education,stage,63
employe,25.0,3030395,sante,stage,90
sans_emploi,,0,,,55
retraite,26.0,791562,sante,freelance,90
independant,35.0,1574459,sante,stage,90
independant,19.0,2748489,services,cdi,89
employe,10.0,1304383,commerce,freelance,90
retraite,25.0,983021,sante,freelance,83
retraite,27.0,629126,sante,freelance,90
independant,34.0,3137991,education,cdi,90
