revenu_mensuel,depense_mensuelles,dettes_existantes,nbr_dependant,duree_emploie,situation_bancaire,note_financiere
5552.68,1354.48,19653.38,4,17,faible,60
5338.11,1105.29,10956.12,3,18,mauvais,53
5039.21,818.35,8984.25,3,13,excellent,45
2584.12,1826.59,23176.68,5,11,excellent,40
5719.85,3472.51,5434.87,4,12,faible,63
3303.35,1578.18,13306.86,2,12,bon,54
2927.22,1535.28,15113.75,0,16,excellent,62
3080.48,1235.35,17665.06,1,4,moyen,35
2159.98,767.85,18875.15,5,3,moyen,36
3755.49,1511.41,4633.65,0,6,faible,36
5184.12,1618.41,21548.69,3,17,mauvais,57
3625.35,2868.17,1870.39,3,15,moyen,45
1043.45,614.92,19187.25,2,10,moyen,63
1512.05,1120.63,5706.93,3,19,faible,65
5690.42,878.65,19416.16,1,9,excellent,59
5144.67,2439.03,1251.34,3,14,faible,58
4404.36,1967.7,21724.14,5,1,faible,62
1421.5,1044.72,19609.81,0,8,excellent,54
4417.63,2199.89,24891.68,3,18,mauvais,47
2829.5,1792.47,8579.58,4,16,moyen,63
4439.0,1550.9,22999.04,3,0,excellent,36
2875.72,711.59,19.08,4,7,faible,99
2299.96,680.65,4361.76,5,11,bon,39
4217.86,2017.24,18251.86,3,0,mauvais,45
5989.32,2760.19,27039.21,4,5,moyen,54
1353.39,762.99,243.99,3,11,bon,51
1460.32,851.09,10961.08,0,14,faible,48
4864.47,682.21,10512.98,5,13,mauvais,39
5245.07,733.13,13817.58,3,17,moyen,49
2567.61,1231.52,7143.46,4,2,excellent,50
1452.99,555.85,14887.91,2,18,moyen,65
4969.7,2195.78,23922.53,5,2,faible,42
5867.18,3163.26,23495.6,5,12,mauvais,61
2629.18,2055.31,19190.26,5,13,bon,52
1655.96,1106.52,8013.33,1,13,moyen,44
5638.56,4460.01,12477.35,2,0,moyen,50
1097.66,665.5,23295.45,2,16,bon,54
3042.2,789.49,5565.62,0,9,moyen,58
4430.43,2231.05,6995.29,1,19,moyen,45
1822.15,1192.18,12121.29,4,9,moyen,63
5360.23,3487.04,4525.25,4,2,mauvais,48
2841.8,2060.31,29635.01,2,7,faible,39
1656.59,520.97,26160.33,0,8,excellent,45
2760.05,1266.01,1293.21,3,17,excellent,42
2465.25,779.86,26077.09,4,20,faible,60
2387.79,1257.81,16000.98,0,0,excellent,61
2224.69,1214.49,9076.9,3,6,faible,38
3649.06,2376.44,19542.63,1,19,moyen,62
5047.31,544.01,21750.46,2,15,excellent,42
5945.77,2557.64,20711.14,5,18,excellent,54
1691.05,653.68,15727.6,3,7,excellent,49
5241.95,568.07,19930.51,1,8,faible,40
4429.59,734.14,22815.43,1,17,moyen,51
5044.34,1874.08,3415.85,3,8,moyen,52
2660.88,1653.43,19661.13,5,7,excellent,40
2575.73,1886.83,7306.28,1,18,bon,64
5657.65,4479.56,17731.88,1,17,excellent,55
5358.32,1828.73,11247.75,0,20,excellent,35
5140.6,2568.59,2015.21,4,5,faible,44
4985.11,2181.16,22865.07,1,12,moyen,59
3391.73,2230.52,25821.46,4,15,moyen,45
3665.0,1550.84,29317.25,4,15,excellent,38
5055.41,1153.35,11055.52,3,1,faible,42
3631.45,2705.96,14337.96,3,10,moyen,54
5409.74,3359.83,21711.36,2,13,faible,65
4973.76,3403.08,12620.73,3,13,faible,40
4059.59,1230.89,17520.68,4,13,excellent,61
5359.01,1758.17,23888.73,0,5,excellent,53
4256.28,663.66,29416.35,2,15,mauvais,53
2849.13,508.05,14903.74,4,13,excellent,52
1925.47,1089.01,28356.83,5,9,faible,55
3922.22,1867.74,28578.43,1,19,bon,56
5707.02,3665.56,7180.19,2,0,moyen,35
3532.32,1723.81,13458.61,5,16,excellent,38
2368.0,1043.58,25280.53,0,16,bon,39
4892.19,3059.37,7937.25,4,4,bon,55
4487.33,710.38,23442.79,5,12,faible,46
4765.34,3188.55,22216.61,0,7,moyen,45
1667.65,822.46,21375.73,0,20,excellent,57
4535.74,789.53,28296.58,4,10,mauvais,40
5102.34,3967.55,18412.32,4,13,mauvais,51
2122.01,606.73,6990.81,0,15,moyen,56
5921.95,3842.07,24240.74,5,15,faible,52
2729.82,1571.79,19152.67,4,0,moyen,64
5988.22,4635.1,5840.82,0,16,excellent,35
3209.59,1492.01,25162.64,4,7,excellent,37
5618.15,3275.46,14209.57,2,17,bon,35
5579.73,3138.51,561.36,5,5,mauvais,68
3989.32,2417.7,2201.34,3,3,mauvais,40
2495.99,1767.27,26716.46,1,3,excellent,56
2734.74,1147.15,13243.36,0,15,excellent,62
1555.94,675.64,20998.49,3,16,moyen,46
2248.62,1343.74,14947.22,0,5,moyen,40
3427.76,1322.61,4547.09,5,5,bon,35
3836.02,652.68,7362.96,5,4,faible,36
2084.75,1079.08,14252.8,1,3,faible,53
5672.86,3951.68,23520.72,0,3,bon,58
4471.75,3391.86,6494.91,5,3,bon,45
2692.92,796.81,25115.77,0,5,excellent,50
2087.04,1310.77,7298.53,4,17,mauvais,62
4994.2,1086.48,23572.94,4,5,moyen,37
1731.22,1019.84,8670.72,2,5,excellent,42
1487.44,1117.36,22993.77,1,13,mauvais,41
1001.12,548.45,26574.3,2,8,moyen,63
5036.76,772.27,23996.74,1,20,faible,60
5311.53,2784.91,8531.54,2,3,mauvais,65
5812.67,1583.63,8468.17,2,4,moyen,41
3748.55,1494.7,6224.02,5,4,faible,50
1992.77,843.09,7085.85,3,1,moyen,37
3854.78,665.79,10053.28,4,1,mauvais,54
2312.84,977.63,13169.62,4,5,excellent,50
4735.95,3038.04,24704.35,5,7,faible,47
2735.43,1795.25,9316.36,0,1,excellent,63
5659.39,1966.02,9734.48,2,4,faible,50
5378.49,4116.69,13561.12,2,11,bon,46
3681.14,2239.92,13857.05,1,11,mauvais,38
1441.06,921.16,18249.06,5,5,faible,63
4715.82,772.95,17882.92,4,4,moyen,56
2835.94,571.17,25821.97,0,4,faible,41
3772.49,2458.01,18278.47,5,13,moyen,49
1907.3,904.4,11370.72,0,8,moyen,35
3819.38,1823.23,15343.31,2,8,faible,40
2109.43,1273.67,13581.45,2,1,moyen,58
4066.23,683.97,12764.51,4,1,moyen,49
3152.01,1682.76,15965.59,4,16,excellent,55
4843.51,3037.68,5579.14,5,17,faible,54
2179.69,1663.63,6715.24,5,6,excellent,57
5929.44,2153.53,19688.98,4,8,excellent,42
3733.36,2578.67,27427.65,2,3,faible,35
3365.61,973.32,5464.83,5,12,faible,53
1853.91,669.69,19220.78,0,2,bon,44
1433.7,690.17,2482.61,0,18,faible,41
4455.27,2230.99,27948.59,4,15,mauvais,63
4183.21,1245.51,3423.7,3,13,moyen,45
4297.43,1827.8,4960.67,4,0,excellent,45
2666.36,532.55,418.13,1,14,mauvais,78
2966.17,2051.21,18492.54,2,15,mauvais,48
2274.85,852.13,25797.62,2,0,moyen,64
4244.94,558.55,10037.2,4,5,faible,59
1817.18,633.78,17329.5,4,16,moyen,41
5922.93,3919.22,17658.54,1,12,mauvais,58
1898.8,520.06,22855.31,2,7,excellent,35
3463.69,1306.13,29249.26,0,18,faible,65
5360.63,2983.04,28381.14,2,9,faible,49
3348.67,623.32,18197.62,1,12,excellent,35
2046.5,1463.5,1355.65,5,1,bon,64
4223.6,1632.56,25647.23,1,19,excellent,55
4224.02,2333.08,17750.5,5,15,excellent,51
1637.63,815.7,24936.71,2,3,mauvais,35
4799.99,1306.64,4752.59,4,16,mauvais,49
5536.77,1334.22,17284.39,5,10,moyen,35
1624.72,948.26,423.6,3,17,faible,62
4873.93,2546.57,11836.49,5,5,bon,43
1557.8,860.05,20261.56,1,6,mauvais,51
2782.65,1511.84,19775.31,5,9,faible,57
3552.15,1628.52,19982.37,5,6,bon,35
3350.26,794.14,16074.28,4,12,mauvais,63
4308.69,2058.82,25366.91,3,12,faible,55
2257.21,1690.86,24160.14,4,16,mauvais,50
5748.52,3851.6,26019.26,2,5,moyen,51
3107.72,1927.71,3110.06,2,0,mauvais,57
3076.03,2141.53,21110.03,3,2,bon,52
3580.29,1419.87,27057.86,5,16,excellent,52
1819.86,592.7,20467.61,2,11,mauvais,51
2862.23,2281.92,12800.29,2,17,excellent,55
4157.18,1295.85,20420.04,3,5,excellent,62
4103.64,745.11,4175.18,1,6,moyen,39
2483.72,1673.41,27749.14,1,15,moyen,39
3813.26,607.09,5325.13,0,10,moyen,52
1899.09,1355.84,14775.11,5,12,excellent,45
1807.84,971.19,25893.89,4,0,moyen,43
3731.27,2156.08,13175.62,5,14,mauvais,38
1347.07,698.21,29124.66,0,9,moyen,35
3086.31,1891.24,185.37,4,13,faible,75
2543.78,1875.39,6321.57,5,15,faible,65
4488.83,2096.38,14255.27,4,14,mauvais,54
2333.69,524.18,23693.77,4,1,excellent,62
2713.27,1433.84,20204.91,5,7,moyen,35
3986.24,1848.82,15963.66,4,18,moyen,54
1037.85,551.04,22913.32,4,12,excellent,58
1572.78,1077.1,15724.39,0,20,faible,35
3995.35,666.68,1670.24,3,15,mauvais,82
1759.58,614.3,10227.43,1,19,excellent,50
2932.99,1391.51,10546.02,2,15,excellent,48
5565.69,908.27,7798.68,0,17,bon,55
4986.91,1613.14,7274.36,3,10,moyen,52
2485.98,1862.61,27043.89,0,14,mauvais,61
2363.71,1234.65,17980.06,0,2,moyen,51
4416.55,2904.9,2636.17,3,20,excellent,47
4946.89,3822.66,14004.11,3,9,moyen,36
3012.41,559.52,4596.33,1,11,excellent,41
1714.25,992.03,8844.05,0,11,bon,41
4319.67,1505.48,2755.81,2,12,mauvais,37
1915.85,686.45,20058.21,3,2,faible,59
5103.35,905.36,26900.75,5,11,excellent,35
5658.4,2116.05,12196.57,3,14,moyen,50
3054.82,2072.8,18559.3,5,10,excellent,56
3520.94,1953.0,10177.49,2,7,moyen,48
2098.06,635.19,917.51,0,5,bon,51
4497.49,2786.38,8804.29,0,3,mauvais,45
2323.11,1827.99,27240.84,1,19,mauvais,43
3556.24,2068.5,15079.89,4,4,excellent,52
3019.87,2071.36,20623.82,0,17,faible,56
2141.12,534.43,13287.78,5,15,excellent,43
4768.37,3679.95,28844.05,1,8,bon,62
2942.5,1967.17,5874.4,1,19,mauvais,35
4542.43,2857.61,10038.93,4,19,bon,38
5859.26,3240.96,540.75,5,7,bon,98
3468.3,1422.63,10763.05,3,5,excellent,59
4222.61,2094.75,28050.29,1,6,moyen,54
3643.79,1392.41,11355.49,5,16,bon,65
3495.58,1864.72,28318.52,1,6,bon,36
2144.73,1055.15,3628.6,3,16,faible,50
5827.49,1417.99,5696.18,4,3,excellent,58
3841.01,522.27,2769.34,0,9,bon,64
4994.14,3151.72,16475.84,2,9,mauvais,54
3907.08,3005.19,22607.42,2,14,moyen,49
2015.09,1064.74,9238.34,4,5,moyen,55
1594.44,778.33,22691.19,2,12,faible,61
1249.04,511.37,24136.95,0,17,moyen,52
1090.73,765.18,13925.31,2,17,excellent,49
4775.99,2520.48,27191.41,1,11,faible,56
2490.09,722.54,16700.69,0,0,bon,45
5171.32,1754.32,2671.75,5,16,excellent,52
1317.35,946.64,15937.95,2,20,mauvais,52
1781.9,522.21,29412.49,3,5,moyen,55
5294.54,3674.46,14974.34,1,7,excellent,59
3578.3,1162.59,7024.18,4,7,mauvais,51
1782.54,915.34,7813.4,0,20,moyen,65
1563.91,784.41,6656.52,1,14,moyen,50
4882.94,908.31,22730.76,4,2,mauvais,57
1579.87,552.04,3306.14,2,18,bon,58
5433.86,3000.47,12079.63,5,13,excellent,53
2682.05,1610.55,3594.55,0,6,moyen,39
5325.08,4112.77,8314.68,2,8,excellent,41
3489.53,931.26,15498.77,2,18,excellent,55
4020.53,1261.71,15609.77,5,6,bon,38
3839.65,1973.6,14979.45,1,2,faible,36
3951.36,1944.18,5394.67,2,5,mauvais,49
4331.38,1856.1,29369.42,0,7,faible,43
1111.92,527.01,19653.64,5,7,mauvais,41
1988.02,1106.73,16499.45,1,14,bon,47
5519.32,1946.99,28285.31,1,5,mauvais,60
4689.65,2704.76,14727.78,4,1,mauvais,37
3526.64,2509.08,927.77,4,15,faible,60
2578.6,1599.66,20041.56,2,9,moyen,40
3640.95,1807.55,27661.69,4,3,bon,57
2361.79,589.73,17280.37,5,16,excellent,63
5331.71,2504.75,7453.76,1,6,mauvais,42
4741.49,2937.86,14358.84,1,13,moyen,36
1040.47,518.22,8678.05,1,1,mauvais,65
4719.08,575.09,18970.49,3,2,bon,45
4610.55,1030.19,2958.54,5,20,faible,45
2974.21,1661.25,18448.9,0,15,faible,51
1635.22,598.97,21062.92,5,15,moyen,42
4083.92,1281.26,1724.34,1,8,mauvais,66
3166.45,2378.66,25335.42,4,1,moyen,57
3688.32,1507.36,13303.39,0,5,excellent,59
5400.18,2840.47,7063.83,2,15,excellent,45
1500.16,1151.38,11953.13,4,6,moyen,64
5407.86,2470.46,3940.21,3,20,mauvais,59
5828.05,2987.16,15007.63,0,8,mauvais,50
3623.8,1895.55,8039.7,2,18,bon,64
3652.61,2249.57,26617.43,5,11,faible,64
4241.64,3022.46,17155.25,2,11,mauvais,42
2531.34,693.97,26755.73,0,17,bon,45
1267.35,715.95,937.68,3,16,bon,63
2120.0,960.16,10325.66,4,15,bon,47
3042.3,1664.93,14871.93,4,16,faible,44
5568.2,861.13,27664.23,3,19,bon,39
3402.65,1842.2,14645.26,3,18,faible,37
2060.07,1172.41,23714.74,3,5,moyen,49
2825.27,1597.41,7508.31,4,16,mauvais,56
5480.04,2276.38,5592.44,1,2,bon,59
4662.84,665.71,27863.12,0,13,bon,63
3793.31,2719.25,15240.82,5,5,bon,49
2661.75,948.82,28657.86,2,10,mauvais,46
4723.0,3083.08,11829.78,2,7,excellent,63
3910.61,2190.37,22297.2,0,20,excellent,37
5352.1,1852.58,11435.77,0,20,moyen,43
5279.02,2981.49,7363.2,3,0,moyen,44
5342.01,2681.5,26800.36,3,12,bon,64
5549.43,2573.75,7699.32,0,17,mauvais,40
3589.17,2620.88,14166.49,4,17,moyen,51
5679.1,3336.03,4385.65,1,15,mauvais,38
4512.95,930.31,12438.89,0,0,bon,45
1828.22,611.38,14115.31,1,10,bon,44
5155.76,723.89,2210.98,3,1,moyen,86
1277.86,759.99,26169.2,0,0,faible,54
4764.22,2034.85,28569.51,4,4,faible,36
5976.0,1219.72,22854.81,3,7,excellent,36
4150.97,1277.02,10500.14,5,20,moyen,37
1377.18,1099.67,4091.85,4,5,mauvais,55
3904.47,2543.75,167.03,4,19,faible,65
5130.52,3451.36,23091.24,0,0,moyen,64
2185.83,1331.79,25053.21,5,5,bon,46
5699.15,3464.75,3331.9,2,19,excellent,50
4705.4,1075.1,20706.14,0,20,bon,54
5255.75,865.59,20293.56,5,19,mauvais,36
2843.7,1998.3,27069.61,3,3,excellent,36
1555.68,848.62,9940.75,0,13,moyen,64
2762.12,711.35,13226.21,1,3,excellent,50
3495.12,1634.31,5234.98,5,2,excellent,38
4339.01,3176.38,12086.86,1,12,excellent,35
4374.97,2789.01,8714.94,1,15,moyen,41
3974.34,1004.28,21486.47,5,8,bon,47
3392.13,1352.0,18137.58,1,2,faible,35
3507.07,1201.68,15452.07,1,4,faible,57
1398.17,676.25,18593.49,0,15,excellent,65
4006.24,1946.38,12240.34,2,20,excellent,49
3915.53,1114.93,2229.08,3,1,excellent,45
1234.19,703.23,4288.64,5,10,bon,45
1853.28,520.91,3951.98,2,5,bon,55
2833.87,623.37,696.08,0,5,bon,65
5641.29,1155.86,18395.11,0,17,excellent,55
1632.59,1094.09,21647.65,1,8,excellent,48
3165.69,828.76,29834.46,4,15,moyen,64
5210.15,745.14,23645.94,4,5,moyen,37
1985.45,749.89,21064.6,2,9,mauvais,55
4254.55,1864.44,25447.99,5,20,excellent,58
4189.47,2691.2,25166.01,1,15,mauvais,60
3943.24,1483.57,6826.47,4,5,mauvais,47
5102.15,2946.63,26116.33,1,5,moyen,63
4415.52,1615.81,11799.8,0,15,excellent,47
5812.51,1639.96,7178.1,3,3,moyen,60
5087.83,3010.8,3509.59,2,15,bon,59
4224.0,2087.03,16046.46,3,17,moyen,50
1011.73,589.4,22648.72,4,20,moyen,49
4299.32,2076.52,11455.68,3,1,excellent,46
3603.59,1586.46,1059.14,5,12,mauvais,49
2533.46,569.29,547.66,5,11,faible,66
2222.16,887.23,9759.19,1,9,bon,46
1759.86,719.0,7106.19,4,12,bon,50
5548.86,1060.87,16278.96,0,14,mauvais,42
4202.08,1763.65,15489.75,5,7,faible,60
3615.92,942.92,20501.87,2,8,faible,54
4268.86,2540.98,5782.75,2,11,faible,43
1810.95,1317.25,1159.42,2,0,bon,50
4035.43,1823.98,5103.61,1,15,mauvais,46
1719.4,514.71,15798.86,1,9,excellent,45
2569.92,1442.29,15517.16,0,1,excellent,57
5739.12,500.63,17645.11,1,19,faible,64
5844.9,2318.82,13492.39,3,16,excellent,62
5756.6,2267.29,5465.63,3,19,faible,40
5192.78,1463.47,28180.76,0,3,faible,60
2292.75,819.64,27300.0,1,6,mauvais,58
3566.02,2531.94,28761.84,3,13,mauvais,35
4903.65,2597.06,1784.66,1,19,moyen,38
3339.02,1847.26,13451.43,4,4,excellent,65
5463.66,2228.07,19886.47,5,13,bon,46
4680.75,2748.92,15150.01,0,11,bon,41
3571.38,1041.84,22714.29,4,16,moyen,61
4086.22,2679.06,17577.18,5,19,excellent,46
5001.73,2713.74,13266.53,5,3,faible,60
1287.31,541.35,29194.02,5,11,excellent,57
3484.1,1711.52,20867.88,1,18,moyen,54
1805.87,584.84,15571.27,2,19,mauvais,46
2403.18,1570.37,9580.12,1,4,excellent,53
3256.2,828.91,12016.51,0,4,moyen,65
1412.29,873.68,16595.0,5,14,excellent,61
5823.75,621.45,4973.26,0,1,moyen,62
4128.72,1373.51,17918.21,5,20,moyen,50
3549.25,2345.97,24631.67,1,17,faible,57
5297.88,1359.07,6783.32,0,11,excellent,35
4889.03,3534.15,355.3,3,8,excellent,60
5755.96,2550.41,26339.54,4,4,bon,38
1758.16,726.39,28006.24,5,19,faible,43
5597.81,2195.45,12686.55,5,5,excellent,35
1149.84,605.71,24164.27,0,2,moyen,50
1988.16,856.85,28458.66,5,2,moyen,42
3258.93,1631.23,15241.65,5,17,mauvais,48
4374.36,2446.97,10692.17,0,4,mauvais,45
1209.62,714.11,5820.5,2,19,excellent,37
4579.61,1542.37,1081.57,0,10,mauvais,78
5683.28,1443.57,14373.08,2,0,excellent,55
2953.58,1852.92,3983.05,0,7,bon,60
5475.46,674.16,26874.62,3,13,moyen,44
4736.31,1303.7,21649.85,0,11,faible,43
3922.57,1730.46,21748.36,1,19,mauvais,60
3301.91,807.28,24566.29,0,17,excellent,55
4975.43,2968.93,17406.4,3,11,bon,45
5794.83,1638.15,22526.97,4,14,faible,60
5598.92,984.6,190.49,2,0,faible,95
2629.73,1141.88,11224.31,1,0,bon,65
5070.55,3383.9,171.68,2,7,excellent,62
2452.11,1054.16,3432.16,3,12,excellent,46
4396.86,1082.96,1153.47,4,16,faible,93
3378.02,2598.54,22922.21,2,5,excellent,59
1687.48,694.37,7357.92,0,2,faible,43
4673.33,1808.87,26130.92,1,7,bon,63
1686.88,684.26,27941.58,1,11,moyen,59
4415.52,1471.59,21996.07,0,1,moyen,62
3243.83,2392.39,26672.22,2,4,faible,42
5069.1,2917.9,9084.92,3,17,excellent,48
3286.95,2205.32,476.22,2,12,moyen,55
5698.46,2273.99,18814.2,1,3,mauvais,35
4664.73,3397.49,3405.86,3,5,mauvais,61
3441.67,2746.92,14520.99,3,0,mauvais,53
3169.04,605.29,12775.11,3,14,moyen,62
3813.13,1186.15,5815.98,5,16,mauvais,61
1045.53,717.59,17117.49,0,18,bon,37
1777.01,1366.6,2331.63,5,20,mauvais,48
2006.2,1554.48,7461.57,0,16,mauvais,59
2192.53,1009.39,19874.3,3,17,moyen,47
1704.07,720.83,17800.79,1,15,faible,57
1204.08,723.39,17032.36,2,9,bon,61
4249.82,2776.95,7282.9,3,10,bon,49
5215.7,3795.33,8291.37,0,8,mauvais,52
2537.41,1470.83,1690.98,4,6,excellent,48
2344.71,1352.49,25093.58,0,17,mauvais,45
3403.55,1260.3,1010.46,1,10,moyen,75
2283.49,581.84,22694.58,0,19,excellent,65
1223.45,790.15,7477.98,1,18,mauvais,47
4281.49,1930.43,4344.29,1,17,mauvais,38
4243.47,1920.44,13441.02,5,1,faible,51
1101.12,744.33,16837.72,1,11,moyen,46
4669.42,3300.1,13593.73,3,10,excellent,61
4282.33,1234.02,29361.13,3,0,mauvais,61
1751.16,672.93,11584.36,3,15,mauvais,47
3354.03,561.94,23961.68,3,4,mauvais,44
5927.33,1740.01,29009.61,3,14,bon,62
3867.75,843.7,5684.61,5,5,excellent,60
4483.06,3491.34,26.56,1,17,excellent,51
2216.48,896.27,19532.03,2,20,moyen,56
4668.98,617.92,12962.55,3,0,moyen,53
1306.67,966.96,29274.57,1,17,mauvais,42
5301.29,1143.26,15366.57,4,10,mauvais,50
4432.19,1811.01,23151.92,1,14,faible,43
3741.44,1119.77,18891.84,2,16,moyen,49
4404.42,1028.47,731.0,1,5,excellent,100
2434.12,1461.11,13080.55,0,13,bon,52
5865.45,1594.65,3910.53,5,20,mauvais,60
5252.56,2053.71,10762.01,4,20,excellent,65
2652.45,1419.21,13399.47,3,5,faible,49
1146.46,802.02,2864.86,5,2,bon,58
5962.76,4540.71,15884.68,3,6,faible,56
3951.83,1943.08,25327.61,5,9,faible,59
4168.36,1170.83,7568.18,5,17,excellent,63
4193.72,1237.23,18789.31,0,11,faible,59
3762.17,703.12,11875.38,3,4,bon,55
5057.89,818.81,3789.0,2,0,excellent,45
3724.26,2219.87,9329.92,2,0,bon,45
5807.91,952.71,3269.21,4,6,excellent,64
5365.5,822.08,4636.89,4,2,mauvais,43
3951.46,2490.93,9329.27,1,5,mauvais,47
4195.47,1908.81,29235.67,1,17,excellent,64
3746.08,2423.25,15109.07,0,3,mauvais,41
4194.81,2544.55,14240.21,3,11,faible,41
3031.76,726.06,19189.2,1,3,faible,46
2789.01,1598.5,26489.4,1,18,faible,41
5018.01,1337.47,29657.33,0,12,excellent,45
5442.62,756.84,4409.58,5,11,excellent,44
1567.72,1100.73,13343.57,4,10,faible,60
2836.35,988.08,5438.79,2,5,faible,37
1732.74,1204.86,15845.32,3,11,excellent,47
5044.0,1763.06,22319.17,3,5,mauvais,55
2681.47,1710.53,20972.04,2,17,faible,46
3887.76,1171.4,23097.52,0,20,bon,40
2782.43,1283.37,25053.76,2,18,excellent,42
5696.38,1660.54,29154.58,2,11,mauvais,36
3573.39,2652.71,11996.18,2,2,mauvais,38
3314.97,983.79,908.31,0,17,bon,65
5348.31,634.48,27366.92,3,4,moyen,42
4200.71,1810.13,2794.81,2,18,mauvais,55
1009.5,784.88,198.4,2,13,faible,57
1814.61,887.58,16220.53,1,11,faible,39
4914.66,2575.45,2678.09,4,13,faible,45
3726.47,1364.09,71.44,5,16,mauvais,91
3741.31,2598.37,9374.52,5,1,bon,59
5981.81,4560.56,17016.62,1,0,faible,47
4334.52,3401.71,1833.35,3,20,faible,45
1024.1,814.19,9042.84,1,18,moyen,45
5713.4,767.57,462.94,4,11,excellent,91
4746.91,3593.97,16692.04,1,12,moyen,49
1508.85,909.25,28981.53,4,4,excellent,55
3310.14,1232.58,19955.29,1,14,mauvais,58
5328.02,3196.14,18426.26,3,2,mauvais,61
5248.42,2253.36,16541.57,3,8,faible,63
1019.22,815.09,27488.21,3,11,faible,57
2710.96,1769.88,22571.35,4,20,mauvais,45
3818.79,2016.73,11111.62,4,10,mauvais,54
3384.28,1801.83,19280.43,5,12,excellent,47
4625.28,3517.43,5682.06,1,4,mauvais,45
3667.29,1462.99,19352.08,0,7,mauvais,46
4750.69,1969.42,23623.12,3,5,mauvais,51
3415.12,1005.5,2352.82,2,15,moyen,50
1335.97,649.17,9354.0,3,1,moyen,53
4820.11,3208.72,20622.06,5,16,faible,44
2554.05,1805.13,3006.93,1,9,moyen,64
4175.54,2788.02,18513.72,2,12,excellent,63
2968.23,1544.93,26362.38,3,20,mauvais,36
3518.42,2613.01,19541.04,4,17,mauvais,38
5836.25,1960.23,21963.71,4,2,mauvais,54
3683.87,1846.49,363.08,0,7,excellent,55
5396.8,1019.03,9121.95,1,7,bon,40
1415.09,566.74,21895.35,0,0,bon,58
5637.07,3929.8,19458.53,1,1,excellent,58
1874.92,616.61,15973.54,1,10,excellent,45
3853.03,2060.33,14778.19,1,1,bon,43
1109.02,637.53,27658.19,5,13,bon,41
3291.93,958.35,7793.27,0,18,moyen,38
3472.98,1154.45,20483.12,0,6,excellent,43
3594.14,2359.76,16875.76,5,15,excellent,35
2960.77,1079.98,13960.92,0,2,moyen,35
5920.03,1941.78,17742.82,3,15,moyen,43
2651.1,804.15,16785.94,5,13,moyen,64
2557.68,2013.93,1093.14,2,19,mauvais,61
2430.43,586.26,7450.02,2,17,faible,53
1899.47,651.41,3982.47,5,3,moyen,50
5583.27,634.24,26816.75,1,10,mauvais,43
3734.51,2229.04,18068.68,2,10,moyen,57
3958.43,2586.19,4731.07,3,3,moyen,55
2414.55,1599.17,26337.17,4,3,excellent,63
4374.31,648.11,25380.0,2,1,moyen,43
2680.36,1635.4,19108.66,4,4,faible,45
1987.57,609.76,14552.66,1,16,bon,51
4028.31,3111.36,15520.77,1,7,bon,49
3634.63,2352.16,9581.91,0,11,moyen,54
4327.34,1964.38,11932.78,3,1,mauvais,56
4561.82,2059.1,8036.91,1,18,faible,54
1651.31,1168.96,3731.93,4,16,faible,36
4253.63,1910.72,26684.68,0,7,mauvais,42
3494.17,1916.63,17001.26,3,14,moyen,39
5392.94,3042.85,27417.68,0,17,faible,63
5176.91,2906.02,28922.88,5,6,excellent,62
5328.09,1566.44,3119.84,1,12,faible,62
5872.86,3287.31,28067.02,3,10,excellent,63
3879.79,1820.49,26269.4,1,0,mauvais,54
2752.97,1307.84,21737.91,4,10,faible,39
3338.01,909.59,29413.77,5,16,bon,36
5041.23,2324.31,8895.67,0,10,moyen,58
4784.22,1576.52,100.29,5,13,excellent,100
1599.3,778.93,26840.64,5,5,mauvais,47
5961.16,4716.65,10442.87,4,20,mauvais,54
1534.31,1000.67,19228.41,1,4,bon,42
3808.7,2142.92,26594.03,0,9,excellent,55
1088.31,854.75,18937.44,3,14,moyen,57
1148.14,560.62,17066.61,5,10,moyen,65
2277.74,1489.9,19503.67,1,18,moyen,39
5306.73,1090.86,15577.41,4,8,excellent,54
4561.52,3377.15,20294.04,3,2,mauvais,38
1748.13,1062.77,23020.92,1,11,excellent,56
5247.54,3406.96,13041.82,4,2,faible,55
4969.21,2612.43,23270.01,0,8,bon,60
3418.28,2046.82,19654.03,0,20,faible,56
1066.82,684.06,14522.99,4,11,moyen,39
3641.6,2413.06,15079.27,5,20,mauvais,48
1003.96,531.4,27101.8,4,3,excellent,35
5977.96,3056.15,6393.02,2,0,moyen,63
4778.99,1444.72,18180.64,4,13,faible,47
5657.94,3096.5,4971.23,2,11,moyen,55
5250.95,2440.6,22758.5,2,16,moyen,52
1554.08,625.17,7233.54,0,16,faible,62
3343.45,2127.25,738.49,0,7,mauvais,63
1071.1,658.1,15597.96,4,9,faible,62
5397.95,2403.87,5215.73,1,1,mauvais,41
1460.5,603.81,9592.88,5,20,mauvais,39
1257.51,583.02,26370.08,3,9,mauvais,65
1523.5,993.03,20507.21,3,18,moyen,45
4574.91,2043.5,20111.01,3,17,bon,65
5141.45,2858.31,13145.57,5,9,mauvais,52
4872.61,3402.34,14554.17,1,8,moyen,53
1459.06,540.54,18240.31,5,0,bon,56
1627.01,852.19,26364.28,3,8,mauvais,60
1335.7,813.48,26698.68,3,19,moyen,37
2234.23,881.08,12442.85,3,2,bon,35
1598.39,529.72,21720.69,0,15,mauvais,55
3524.54,1795.01,14651.9,1,2,faible,57
2040.28,617.41,506.03,3,6,moyen,39
