statut_familial,nbr_dependant,date_naissance,score_familial
Divorcé(e),4,2003-04-20,57
Divorcé(e),5,1981-03-21,62
Divorcé(e),4,1963-07-05,61
Veuf/Veuve,0,1979-11-05,80
Marié(e),5,1966-11-14,79
Marié(e),5,1983-11-11,79
Veuf/Veuve,3,1967-09-20,79
Divorcé(e),5,1992-02-16,61
Veuf/Veuve,0,1963-04-26,76
Divorcé(e),5,1988-01-28,62
Veuf/Veuve,2,1955-03-10,71
Veuf/Veuve,5,1987-02-07,71
Veuf/Veuve,1,1993-07-05,73
Veuf/Veuve,2,1983-12-06,74
Divorcé(e),4,1966-09-06,64
Veuf/Veuve,2,1959-04-23,70
Célibataire,5,1996-03-12,70
Célibataire,1,1994-07-22,77
Célibataire,3,1973-02-11,62
Divorcé(e),1,1979-07-20,60
Divorcé(e),2,1962-05-11,62
Marié(e),0,1990-07-10,75
Divorcé(e),5,1975-12-21,63
Célibataire,5,1963-07-03,60
Marié(e),3,1961-12-15,81
Marié(e),4,1994-11-22,64
Célibataire,5,1985-10-15,61
Veuf/Veuve,5,1966-10-28,77
Célibataire,1,1989-05-01,71
Célibataire,0,1983-01-28,65
Divorcé(e),1,1989-04-20,57
Marié(e),0,2002-07-23,74
Célibataire,4,1969-09-08,67
Divorcé(e),5,1974-01-29,65
Marié(e),3,1994-08-27,68
Célibataire,0,1967-07-11,61
Veuf/Veuve,2,1993-06-27,75
Marié(e),1,1979-10-24,85
Célibataire,1,1980-07-11,60
Divorcé(e),1,2001-05-31,64
Marié(e),5,1990-02-09,67
Célibataire,1,1999-05-13,76
Célibataire,1,1999-10-14,80
Célibataire,4,1956-01-18,65
Divorcé(e),1,1989-09-01,64
Veuf/Veuve,2,1970-06-19,77
Célibataire,0,1961-01-08,60
Divorcé(e),1,1958-07-16,60
Veuf/Veuve,4,1980-08-31,80
Veuf/Veuve,3,1991-01-20,71
Marié(e),2,1962-06-19,82
Célibataire,4,1973-03-12,62
Divorcé(e),3,1960-11-23,62
Veuf/Veuve,5,1976-05-16,70
Marié(e),0,1993-12-11,66
Veuf/Veuve,4,1959-11-26,74
Marié(e),0,1956-02-07,85
Marié(e),5,1955-12-25,79
Veuf/Veuve,2,2001-11-19,78
Divorcé(e),1,1988-04-29,57
Divorcé(e),5,1965-07-22,60
Divorcé(e),3,1979-05-14,64
Célibataire,2,1961-11-17,67
Veuf/Veuve,4,1987-04-10,70
Veuf/Veuve,4,1969-12-08,75
Marié(e),2,1964-03-12,84
Célibataire,1,2000-08-12,70
Célibataire,0,1976-11-26,60
Veuf/Veuve,2,1989-04-28,72
Marié(e),0,1992-08-02,68
Divorcé(e),1,1992-04-22,60
Divorcé(e),0,1988-05-30,56
Célibataire,1,1974-12-27,68
Célibataire,3,1961-02-23,67
Divorcé(e),2,1984-04-29,56
Veuf/Veuve,0,1988-01-23,73
Divorcé(e),4,1982-03-25,65
Marié(e),3,1988-01-02,74
Veuf/Veuve,1,1976-12-15,72
Célibataire,3,1957-02-09,63
Divorcé(e),5,1955-10-29,62
Célibataire,5,1988-09-20,64
Célibataire,1,2002-06-30,73
Veuf/Veuve,3,1960-05-03,72
Divorcé(e),0,1958-11-26,61
Veuf/Veuve,5,1988-05-19,77
Célibataire,4,1963-07-16,68
Marié(e),5,1990-05-06,64
Célibataire,3,1966-09-10,63
Divorcé(e),2,1983-03-24,63
Divorcé(e),2,1995-08-01,59
Marié(e),0,1973-02-24,81
Célibataire,1,1964-06-11,62
Veuf/Veuve,3,1983-02-20,76
Célibataire,4,1987-02-09,63
Veuf/Veuve,2,1996-07-13,74
Célibataire,0,1969-02-07,70
Divorcé(e),5,1958-08-01,61
Divorcé(e),1,1963-02-23,65
Marié(e),2,1990-07-07,73
Célibataire,5,1981-10-10,64
Marié(e),0,1991-03-31,72
Marié(e),0,1996-06-01,66
Marié(e),0,1956-01-14,80
Marié(e),1,1972-09-27,83
Divorcé(e),5,1962-07-03,64
Divorcé(e),0,1956-12-02,60
Marié(e),5,1994-09-30,65
Célibataire,2,1965-12-15,60
Veuf/Veuve,0,1970-01-13,79
Veuf/Veuve,5,1990-05-27,77
Célibataire,3,1993-03-29,72
Divorcé(e),1,1971-10-03,62
Divorcé(e),3,1968-04-19,60
Marié(e),5,1981-06-10,81
Veuf/Veuve,4,1997-12-09,70
Célibataire,2,1989-04-29,72
Veuf/Veuve,1,2002-02-19,73
Célibataire,3,1987-03-08,67
Veuf/Veuve,2,2000-01-14,75
Veuf/Veuve,2,1971-02-05,70
Divorcé(e),4,1974-08-12,60
Divorcé(e),0,1997-04-13,63
Divorcé(e),4,1975-11-06,61
Célibataire,1,1976-08-07,64
Célibataire,1,1989-10-23,75
Marié(e),1,1976-03-09,84
Divorcé(e),5,1987-02-25,64
Célibataire,5,1986-07-07,69
Marié(e),4,1971-11-08,82
Divorcé(e),1,1998-12-18,55
Célibataire,0,1975-11-01,69
Marié(e),0,2002-03-12,72
Célibataire,2,1973-01-14,62
Divorcé(e),5,1970-11-20,62
Célibataire,0,1968-03-20,69
Marié(e),0,2002-03-07,70
Célibataire,2,1990-06-15,79
Célibataire,2,1982-01-14,65
Marié(e),1,1994-02-27,75
Veuf/Veuve,5,1983-06-06,72
Divorcé(e),1,1970-09-11,63
Divorcé(e),5,1981-05-21,61
Marié(e),5,1955-02-15,83
Veuf/Veuve,4,1957-11-14,72
Divorcé(e),4,1974-10-13,65
Célibataire,3,1967-08-01,65
Célibataire,1,1986-01-29,65
Marié(e),5,1962-12-04,83
Divorcé(e),3,1955-12-27,62
Marié(e),1,1961-01-17,82
Divorcé(e),0,1955-01-29,60
Veuf/Veuve,3,1992-08-12,72
Veuf/Veuve,3,1988-12-09,75
Veuf/Veuve,0,1997-12-24,79
Marié(e),1,1995-06-14,66
Célibataire,2,1956-10-06,65
Divorcé(e),0,1961-08-15,62
Marié(e),3,1969-05-26,85
Célibataire,4,1963-04-26,65
Veuf/Veuve,5,1957-09-29,76
Marié(e),4,1993-12-01,66
Célibataire,0,1984-09-01,63
Marié(e),3,2003-06-03,69
Divorcé(e),2,1976-04-10,60
Célibataire,3,1999-01-04,72
Célibataire,2,1955-04-23,66
Célibataire,2,1998-01-21,73
Célibataire,0,1973-07-13,62
Divorcé(e),0,1997-06-13,56
Divorcé(e),3,1997-03-19,62
Divorcé(e),0,2003-10-12,61
Marié(e),2,1989-03-09,70
Marié(e),3,1958-12-20,82
Veuf/Veuve,3,1978-08-06,73
Divorcé(e),4,1960-06-29,61
Célibataire,0,1985-10-22,68
Veuf/Veuve,4,1975-05-18,78
Célibataire,3,2001-11-05,76
Veuf/Veuve,4,1976-02-08,77
Divorcé(e),0,1990-05-20,55
Marié(e),0,1995-04-02,67
Marié(e),1,1972-04-03,81
Célibataire,3,1961-12-29,70
Veuf/Veuve,1,1968-03-25,79
Divorcé(e),2,1960-12-22,60
Veuf/Veuve,4,1990-08-12,78
Divorcé(e),2,2001-08-03,62
Célibataire,5,2001-11-05,76
Célibataire,3,1968-05-22,62
Célibataire,0,1964-01-10,64
Divorcé(e),3,1978-08-30,63
Veuf/Veuve,4,1997-05-27,70
Marié(e),2,1991-02-12,67
Veuf/Veuve,0,1990-06-22,75
Marié(e),0,1997-08-06,69
Divorcé(e),0,1985-04-11,59
Divorcé(e),2,1999-01-26,65
Célibataire,1,1967-01-08,64
Veuf/Veuve,2,1979-02-19,76
Célibataire,1,1994-08-05,73
Veuf/Veuve,5,1998-06-05,78
Divorcé(e),0,2001-03-11,57
Célibataire,2,2000-06-06,76
Marié(e),4,1957-07-24,80
Marié(e),1,1960-02-19,81
Célibataire,3,1959-07-02,65
Marié(e),2,1988-01-05,72
Veuf/Veuve,5,1966-01-29,80
Célibataire,1,1988-05-18,67
Veuf/Veuve,1,1997-07-17,79
Divorcé(e),2,1969-08-20,62
Célibataire,2,1957-06-05,66
Célibataire,1,1974-03-11,63
Marié(e),5,1973-07-06,80
Veuf/Veuve,4,1956-10-06,80
Célibataire,3,1966-11-01,70
Marié(e),4,1955-09-22,80
Divorcé(e),4,1982-05-15,65
Divorcé(e),3,1988-09-27,60
Veuf/Veuve,2,1974-07-17,77
Divorcé(e),5,2001-09-03,64
Veuf/Veuve,4,1964-02-22,70
Divorcé(e),4,1980-04-28,62
Célibataire,3,1960-09-09,65
Divorcé(e),5,1984-02-19,59
Divorcé(e),5,1981-10-08,61
Marié(e),4,1976-07-10,79
Veuf/Veuve,5,1983-08-21,80
Marié(e),5,1957-04-01,83
Veuf/Veuve,2,1978-03-28,76
Veuf/Veuve,3,1958-02-18,79
Marié(e),2,1974-11-30,85
Veuf/Veuve,5,1987-02-16,78
Divorcé(e),1,1971-03-20,62
Célibataire,3,1966-06-11,64
Marié(e),5,1985-01-28,73
Célibataire,1,1986-11-02,63
Divorcé(e),3,1984-09-08,60
Divorcé(e),4,1981-05-06,63
Célibataire,3,1959-10-12,70
Célibataire,3,1972-06-01,68
Célibataire,5,1989-03-16,78
Divorcé(e),3,1959-10-25,61
Marié(e),1,1985-09-15,71
Veuf/Veuve,1,1983-05-08,72
Célibataire,3,1984-10-21,70
Marié(e),2,1960-03-02,80
Veuf/Veuve,2,1973-10-01,72
Marié(e),3,1962-11-11,81
Veuf/Veuve,5,1993-06-27,76
Veuf/Veuve,3,1989-05-09,70
Célibataire,4,1972-11-08,65
Célibataire,2,2002-08-09,73
Célibataire,5,1955-05-03,70
Marié(e),1,1985-11-09,69
Marié(e),0,1989-05-17,73
Divorcé(e),1,1960-10-27,60
Divorcé(e),2,1995-11-13,63
Divorcé(e),3,1966-12-20,62
Veuf/Veuve,2,1971-11-14,72
Veuf/Veuve,0,1975-06-16,73
Marié(e),1,1956-12-06,84
Marié(e),0,1987-11-08,75
Célibataire,3,1977-11-29,68
Célibataire,4,1959-04-08,70
Célibataire,5,1956-09-25,60
Célibataire,3,1994-10-29,76
Célibataire,4,1977-08-21,67
Marié(e),1,1955-10-19,82
Veuf/Veuve,5,1964-01-09,80
Divorcé(e),4,1967-04-09,63
Célibataire,4,1965-07-11,64
Célibataire,0,1999-08-14,73
Marié(e),2,2001-11-24,68
Divorcé(e),5,1991-09-22,59
Marié(e),0,1999-06-30,68
Veuf/Veuve,2,1976-01-02,70
Célibataire,5,1962-12-13,61
Veuf/Veuve,1,1963-01-17,78
Célibataire,5,1964-01-20,64
Marié(e),3,1981-07-10,82
Veuf/Veuve,0,1963-12-02,72
Célibataire,2,1987-04-13,70
Divorcé(e),3,1965-05-12,60
Célibataire,0,1967-05-19,70
Marié(e),2,1987-01-15,72
Divorcé(e),5,1963-04-21,62
Divorcé(e),1,1965-03-06,63
Veuf/Veuve,3,1979-05-09,76
Veuf/Veuve,3,1969-12-05,71
Marié(e),5,1960-03-23,79
Célibataire,3,1998-04-08,79
Veuf/Veuve,1,1989-01-12,75
Célibataire,5,1966-09-08,67
Veuf/Veuve,0,1991-11-11,77
Célibataire,0,1978-06-08,70
Divorcé(e),0,2002-01-18,64
Marié(e),5,1985-04-25,71
Célibataire,3,1977-04-07,67
Divorcé(e),5,1989-06-29,57
Célibataire,0,1969-01-16,68
Veuf/Veuve,3,1969-10-20,71
Veuf/Veuve,2,1976-07-29,75
Divorcé(e),0,2000-06-11,58
Veuf/Veuve,3,1976-01-18,71
Veuf/Veuve,3,1995-03-02,71
Veuf/Veuve,3,1983-04-27,71
Veuf/Veuve,5,1956-07-23,71
Veuf/Veuve,3,1958-03-07,78
Célibataire,0,1982-04-17,68
Marié(e),5,1995-11-23,68
Divorcé(e),0,1974-12-18,63
Divorcé(e),4,1997-05-30,65
Divorcé(e),5,1995-07-25,56
Célibataire,5,1974-11-10,60
Divorcé(e),2,1981-02-27,64
Divorcé(e),5,1964-07-02,60
Marié(e),3,1967-07-26,85
Veuf/Veuve,0,1977-10-11,79
Marié(e),1,1965-10-18,83
Marié(e),3,1972-01-23,85
Divorcé(e),0,1992-02-24,55
Célibataire,3,1995-12-31,80
Marié(e),3,1955-05-10,84
Célibataire,4,1993-10-17,79
Veuf/Veuve,4,1970-11-11,79
Marié(e),5,1966-06-25,78
Veuf/Veuve,5,1983-11-03,78
Veuf/Veuve,3,1977-03-27,74
Veuf/Veuve,2,1981-05-10,77
Marié(e),1,1991-12-29,74
Divorcé(e),5,1983-02-16,65
Marié(e),1,1973-10-11,84
Divorcé(e),5,1985-12-10,65
Marié(e),5,1970-12-01,82
Divorcé(e),5,1965-04-26,62
Veuf/Veuve,4,1992-06-01,80
Divorcé(e),3,1956-02-10,64
Célibataire,0,1989-02-18,72
Célibataire,5,1960-01-16,63
Divorcé(e),1,1980-09-04,65
Divorcé(e),1,1960-07-12,65
Divorcé(e),1,2003-07-08,55
Divorcé(e),3,1964-02-28,64
Marié(e),5,1989-11-08,66
Divorcé(e),5,1959-03-07,63
Veuf/Veuve,3,1983-01-06,78
Célibataire,0,1977-07-06,63
Veuf/Veuve,1,1987-12-16,79
Marié(e),5,1972-04-28,80
Veuf/Veuve,1,1961-08-24,72
Marié(e),5,2001-01-23,64
Veuf/Veuve,0,1993-05-29,74
Divorcé(e),1,1969-05-27,64
Divorcé(e),0,1984-08-14,62
Marié(e),0,1968-10-02,82
Célibataire,5,1981-12-25,67
Divorcé(e),0,1983-06-25,64
Marié(e),1,2001-09-02,66
Marié(e),3,2003-09-08,73
Veuf/Veuve,0,1986-04-24,73
Marié(e),5,1984-09-27,68
Divorcé(e),2,1974-07-25,64
Veuf/Veuve,4,1955-10-03,71
Divorcé(e),3,1976-07-11,65
Marié(e),0,1983-10-04,83
Célibataire,3,1977-12-25,68
Divorcé(e),0,2001-05-02,60
Veuf/Veuve,3,1958-11-24,74
Marié(e),2,2001-01-25,66
Célibataire,1,2003-03-25,78
Célibataire,5,1960-11-02,63
Marié(e),5,1993-01-08,64
Marié(e),4,1994-01-04,74
Célibataire,5,1968-10-04,60
Veuf/Veuve,5,1984-09-21,70
Célibataire,0,1959-11-01,62
Divorcé(e),4,1961-04-14,64
Marié(e),2,1991-07-15,71
Veuf/Veuve,5,1991-04-01,76
Divorcé(e),0,1989-11-28,65
Célibataire,4,1955-06-30,70
Célibataire,5,1959-01-18,61
Divorcé(e),4,1964-06-26,62
Divorcé(e),4,1962-09-22,62
Veuf/Veuve,3,1990-05-31,80
Célibataire,3,1968-12-27,68
Marié(e),1,1990-01-16,73
Divorcé(e),5,1967-11-22,62
Divorcé(e),0,1967-08-25,60
Célibataire,0,1990-04-27,78
Célibataire,2,1973-10-23,65
Marié(e),3,2000-12-12,67
Marié(e),1,1974-10-09,84
Divorcé(e),1,1965-03-31,61
Célibataire,4,1996-05-06,80
Célibataire,2,1961-01-03,64
Célibataire,1,1998-09-03,75
Divorcé(e),1,1976-01-03,60
Divorcé(e),4,1961-03-24,61
Divorcé(e),3,1995-05-24,60
Divorcé(e),5,1968-08-20,64
Divorcé(e),2,1993-05-22,57
Célibataire,2,1977-01-18,63
Veuf/Veuve,2,1987-03-20,72
Divorcé(e),3,1996-06-27,62
Divorcé(e),2,1998-08-27,63
Célibataire,1,1962-04-27,64
Marié(e),4,1972-08-02,81
Célibataire,5,1961-09-23,60
Célibataire,4,1991-04-24,79
Marié(e),0,1978-05-06,84
Veuf/Veuve,5,1968-04-19,75
Veuf/Veuve,1,1981-01-26,72
Veuf/Veuve,4,2000-10-03,71
Veuf/Veuve,2,2000-01-07,70
Marié(e),4,1969-11-04,83
Marié(e),3,1969-04-01,81
Marié(e),5,1998-05-05,68
Célibataire,1,1998-09-18,73
Célibataire,2,1988-02-09,63
Célibataire,5,1973-07-07,68
Divorcé(e),3,1997-02-06,62
Célibataire,0,1984-01-15,61
Divorcé(e),5,1978-08-03,64
Marié(e),3,1988-12-03,70
Célibataire,4,1977-07-14,66
Marié(e),4,1991-05-17,69
Divorcé(e),3,1998-03-20,64
Célibataire,4,1967-06-07,67
Marié(e),1,1961-11-18,84
Divorcé(e),1,1968-06-11,61
Marié(e),2,1965-07-31,85
Marié(e),3,1984-08-03,66
Veuf/Veuve,5,1997-12-02,77
Marié(e),4,1969-06-06,84
Veuf/Veuve,0,1976-10-28,70
Marié(e),4,1969-06-02,80
Célibataire,4,1968-02-21,60
Marié(e),2,1971-02-12,84
Veuf/Veuve,4,1956-08-20,80
Divorcé(e),0,1974-05-25,63
Veuf/Veuve,3,1970-04-08,73
Veuf/Veuve,4,1967-10-08,79
Marié(e),4,2000-10-16,68
Marié(e),5,1985-09-15,70
Célibataire,1,1988-11-23,66
Marié(e),0,1956-06-13,81
Veuf/Veuve,1,1963-08-09,72
Veuf/Veuve,4,1958-06-20,78
Célibataire,0,1998-03-25,80
Marié(e),4,2003-05-07,64
Veuf/Veuve,4,1992-09-14,75
Célibataire,5,2002-07-01,76
Marié(e),3,1989-03-02,70
Célibataire,3,1966-12-23,64
Veuf/Veuve,1,1962-06-26,74
Veuf/Veuve,2,1971-12-03,70
Célibataire,4,2001-11-04,71
Célibataire,3,1973-05-24,65
Veuf/Veuve,2,1964-07-11,72
Veuf/Veuve,5,1977-09-20,74
Veuf/Veuve,4,1987-10-08,79
Divorcé(e),5,1990-08-15,58
Veuf/Veuve,4,1998-04-01,72
Divorcé(e),4,1998-05-13,59
Divorcé(e),4,1985-11-09,61
Marié(e),5,1965-08-25,83
Marié(e),3,1969-06-24,80
Marié(e),4,1990-11-25,69
Célibataire,1,1989-11-15,80
Célibataire,0,1968-01-02,67
Veuf/Veuve,0,1960-09-17,74
Marié(e),2,1962-02-22,84
Célibataire,5,1989-06-11,76
Divorcé(e),5,1960-02-13,61
Veuf/Veuve,3,1955-12-04,73
Divorcé(e),1,1957-12-24,64
Marié(e),4,1970-03-03,84
Célibataire,2,1976-06-05,70
Célibataire,1,1962-10-03,64
Veuf/Veuve,2,1990-06-01,76
Marié(e),4,1956-05-05,84
Célibataire,0,1980-06-27,68
Divorcé(e),2,1979-10-09,61
Marié(e),3,1991-03-16,74
Célibataire,2,1970-09-01,66
Célibataire,4,1961-06-16,68
Divorcé(e),2,1965-06-18,64
Divorcé(e),4,1977-05-28,65
Veuf/Veuve,3,1998-05-09,73
Divorcé(e),3,1996-04-18,64
Célibataire,3,1965-05-24,64
Célibataire,3,1974-09-26,70
Marié(e),2,1991-12-19,70
Célibataire,5,1978-08-04,63
Divorcé(e),0,1990-10-03,65
Divorcé(e),0,1970-12-23,63
Divorcé(e),2,1974-07-28,64
Divorcé(e),1,1972-01-10,63
Marié(e),1,1976-09-05,82
Marié(e),1,1973-02-26,81
Divorcé(e),1,1964-07-14,60
Célibataire,5,1999-03-01,79
Célibataire,4,1958-10-03,67
Divorcé(e),4,1983-04-06,63
Divorcé(e),3,1971-05-16,64
Divorcé(e),3,1974-11-21,64
Marié(e),0,2002-02-17,71
Veuf/Veuve,4,1957-11-20,78
Divorcé(e),3,1970-08-24,63
Célibataire,5,2001-06-15,77
Divorcé(e),5,1955-09-20,60
Marié(e),3,1964-01-02,82
Divorcé(e),4,1978-04-06,61
Divorcé(e),1,1979-02-18,63
Divorcé(e),2,1971-06-19,63
Veuf/Veuve,1,1992-07-24,75
Divorcé(e),3,1980-01-19,63
Marié(e),4,1966-09-24,83
Marié(e),0,1979-03-08,81
Veuf/Veuve,3,1972-07-21,72
Marié(e),3,1955-11-03,81
Veuf/Veuve,3,1967-01-11,80
Divorcé(e),3,1981-11-18,62
Célibataire,3,1963-11-05,62
Célibataire,1,1977-10-11,67
Célibataire,3,1984-12-27,64
Divorcé(e),2,1978-01-31,62
Célibataire,3,1965-11-03,65
Marié(e),4,2003-04-09,66
Divorcé(e),2,1984-02-17,65
Veuf/Veuve,5,1995-01-23,71
Veuf/Veuve,4,1980-09-01,77
Marié(e),1,1985-03-26,71
Veuf/Veuve,0,1962-01-23,72
Divorcé(e),1,1983-02-02,62
Divorcé(e),5,1978-12-17,64
Veuf/Veuve,2,1994-11-17,75
Veuf/Veuve,3,1969-12-22,72
Célibataire,1,1976-01-06,70
Divorcé(e),5,1962-02-23,61
Marié(e),3,1964-03-16,80
Célibataire,3,1959-10-17,60
Veuf/Veuve,4,1962-06-07,71
Divorcé(e),4,1968-11-23,60
Veuf/Veuve,2,1975-07-17,73
Divorcé(e),3,1966-04-22,61
Marié(e),0,1958-02-12,85
Divorcé(e),2,1997-09-06,62
Divorcé(e),4,1994-11-15,57
Marié(e),4,1995-12-04,74
Veuf/Veuve,4,2002-11-08,74
Divorcé(e),3,2003-05-19,58
Célibataire,3,1982-08-02,65
Veuf/Veuve,2,1968-12-07,74
Célibataire,0,2001-11-30,72
Divorcé(e),2,1997-01-21,63
Célibataire,5,1999-02-05,77
Divorcé(e),0,1993-07-31,59
Marié(e),0,1988-06-26,68
Veuf/Veuve,4,1994-03-07,76
Marié(e),1,1989-12-05,71
Marié(e),2,1962-01-26,83
Marié(e),4,1979-05-10,81
Divorcé(e),3,1971-10-31,60
Marié(e),1,1980-12-11,80
Veuf/Veuve,4,1995-08-02,74
Veuf/Veuve,1,1983-09-24,70
Marié(e),0,2002-12-16,65
Marié(e),0,1980-04-10,82
Marié(e),5,1994-04-19,63
Marié(e),0,1968-06-25,80
Veuf/Veuve,1,1985-08-21,76
Divorcé(e),3,1988-04-13,62
Célibataire,2,1962-02-28,62
Célibataire,2,1990-03-03,71
Veuf/Veuve,1,1972-03-16,74
Veuf/Veuve,0,1965-11-27,73
Veuf/Veuve,3,1977-02-20,70
Marié(e),3,1963-05-24,84
Marié(e),3,1989-11-15,75
Divorcé(e),2,1969-03-12,65
Célibataire,5,2001-09-12,71
Divorcé(e),3,1981-10-09,61
Divorcé(e),0,1974-07-03,60
Marié(e),5,1993-11-30,68
Célibataire,1,1979-09-26,69
Célibataire,3,1976-10-09,60
Célibataire,4,1997-08-08,79
Marié(e),2,1962-12-29,81
Marié(e),3,1963-03-02,85
Divorcé(e),5,1960-05-08,60
Divorcé(e),5,1968-10-09,65
Célibataire,1,1998-09-24,73
Divorcé(e),4,1986-02-14,62
Marié(e),0,1988-11-08,70
Marié(e),2,1958-07-04,83
Veuf/Veuve,4,1981-05-28,78
Veuf/Veuve,1,1971-09-16,78
Divorcé(e),2,1996-12-26,59
Marié(e),0,2002-08-13,67
Veuf/Veuve,2,1978-08-04,78
Divorcé(e),3,1955-01-11,65
Veuf/Veuve,5,1971-08-11,70
Divorcé(e),4,1976-05-21,62
Célibataire,5,2003-04-26,76
Marié(e),4,1999-08-08,72
Marié(e),4,1980-05-13,81
Veuf/Veuve,5,1983-11-09,71
Célibataire,4,1960-12-11,60
Marié(e),1,1957-10-08,81
Célibataire,3,1972-02-26,61
Célibataire,4,1989-10-29,80
Veuf/Veuve,4,1977-12-04,70
Divorcé(e),1,1961-04-28,60
Marié(e),5,1999-01-19,64
Veuf/Veuve,5,1960-05-30,75
Veuf/Veuve,2,1960-03-12,79
Divorcé(e),4,1958-08-12,65
Célibataire,2,1961-12-15,63
Célibataire,0,1975-09-09,68
Veuf/Veuve,1,1972-04-16,78
Marié(e),4,1971-01-06,83
Veuf/Veuve,5,1964-06-06,80
Divorcé(e),5,1996-02-13,65
Veuf/Veuve,0,1969-12-06,72
Veuf/Veuve,4,1985-03-30,80
Marié(e),4,1994-09-16,69
Divorcé(e),4,1984-02-03,60
Veuf/Veuve,5,1993-08-05,75
Marié(e),4,2003-12-01,67
Veuf/Veuve,4,1977-10-04,75
Veuf/Veuve,3,1990-08-03,70
Célibataire,2,1956-06-05,68
Marié(e),2,1955-07-22,82
Marié(e),1,1983-03-20,80
Divorcé(e),4,2000-10-31,63
Marié(e),0,1958-05-08,83
Divorcé(e),1,1967-05-20,62
Divorcé(e),4,1977-05-19,61
Divorcé(e),2,1963-03-18,64
Veuf/Veuve,4,1974-06-21,71
Divorcé(e),3,1970-06-23,63
Célibataire,4,1981-11-30,60
Veuf/Veuve,0,1959-12-25,75
Divorcé(e),3,1992-05-01,56
Marié(e),5,1955-12-28,83
Veuf/Veuve,0,1982-04-23,78
Célibataire,2,2003-05-28,79
Marié(e),2,2000-01-14,68
Marié(e),0,1990-03-18,72
Célibataire,1,1993-09-18,74
Veuf/Veuve,1,1966-10-28,75
Célibataire,3,1959-05-22,68
Veuf/Veuve,2,1962-08-06,76
Veuf/Veuve,5,1966-08-30,72
Veuf/Veuve,4,1972-09-26,77
Veuf/Veuve,5,1972-07-22,78
Marié(e),1,1961-05-23,82
Veuf/Veuve,2,1963-01-01,71
Veuf/Veuve,3,1987-09-26,75
Marié(e),2,1985-11-15,74
Célibataire,2,1970-02-24,65
Veuf/Veuve,4,1968-01-18,77
Célibataire,1,1972-11-17,70
Divorcé(e),1,1962-08-30,60
Célibataire,1,1968-03-19,64
Célibataire,2,1964-12-12,64
Veuf/Veuve,3,1957-01-02,75
Marié(e),5,2003-03-26,66
Marié(e),4,2001-11-28,68
Veuf/Veuve,4,1967-08-24,80
Célibataire,3,2002-03-24,70
Divorcé(e),1,1960-05-10,62
Marié(e),5,1979-04-21,78
Veuf/Veuve,5,1955-09-18,71
Veuf/Veuve,5,1979-04-22,80
Divorcé(e),0,1956-09-04,62
Veuf/Veuve,1,1989-02-12,78
Célibataire,2,1998-06-12,79
Célibataire,1,1972-10-21,68
Veuf/Veuve,4,1956-11-22,70
Marié(e),4,1982-04-27,81
Veuf/Veuve,3,1969-01-18,70
Divorcé(e),5,1986-07-15,60
Divorcé(e),1,1999-12-08,59
Célibataire,5,1978-01-30,66
Célibataire,4,1980-02-07,63
Marié(e),2,1990-03-17,75
Marié(e),0,1989-04-03,73
Marié(e),3,1976-07-12,84
Marié(e),3,1982-12-28,84
Divorcé(e),3,2003-08-11,57
Marié(e),5,1967-05-25,82
Marié(e),1,1982-09-08,85
Marié(e),3,1967-12-27,85
Marié(e),2,1961-01-18,84
Célibataire,1,1983-06-17,62
Célibataire,2,1992-02-10,76
Divorcé(e),3,1979-07-12,61
Marié(e),0,1966-10-07,81
Célibataire,4,1978-11-27,69
Marié(e),4,1975-10-18,80
Célibataire,2,1962-02-04,67
Marié(e),4,1997-01-07,74
Divorcé(e),1,1989-09-22,62
Veuf/Veuve,1,1969-08-28,73
Marié(e),0,1991-08-15,65
Divorcé(e),3,1974-12-06,65
Marié(e),1,1960-11-24,81
Veuf/Veuve,4,1998-12-02,75
Veuf/Veuve,1,1993-04-28,76
Célibataire,4,1989-02-02,75
Veuf/Veuve,4,2003-01-24,78
Célibataire,4,1964-10-09,67
Veuf/Veuve,0,1977-01-03,78
Veuf/Veuve,5,1958-06-27,78
Veuf/Veuve,4,1959-05-22,73
Divorcé(e),3,1990-09-03,59
Divorcé(e),3,1969-11-25,63
Divorcé(e),4,1959-11-10,65
Marié(e),3,1995-06-28,66
Célibataire,1,1967-02-07,66
Veuf/Veuve,2,1995-06-01,70
Marié(e),3,1973-01-29,83
Célibataire,2,1984-01-15,70
Marié(e),5,1966-01-18,78
Célibataire,5,1995-04-13,80
Divorcé(e),0,2001-12-16,61
Marié(e),3,1989-02-09,65
Marié(e),2,1968-06-06,81
Marié(e),1,1959-07-27,83
Divorcé(e),2,1994-12-31,59
Marié(e),0,1966-10-08,81
Célibataire,4,1977-09-02,60
Veuf/Veuve,3,1999-09-13,78
Célibataire,4,1999-03-27,73
Marié(e),4,1997-08-23,71
Veuf/Veuve,3,1962-02-01,79
Célibataire,1,1979-12-01,69
Marié(e),0,1971-07-19,81
Célibataire,5,1986-04-11,60
Marié(e),0,1981-09-27,82
Célibataire,0,1964-09-25,66
Marié(e),1,1980-06-23,84
Marié(e),3,1987-04-12,65
Célibataire,2,1983-12-05,65
Veuf/Veuve,0,1993-04-20,78
Célibataire,2,1997-03-15,72
Célibataire,5,1979-08-02,65
Veuf/Veuve,4,1973-10-16,73
Célibataire,0,2002-06-02,71
Veuf/Veuve,5,1980-09-23,76
Divorcé(e),2,2002-02-06,64
Divorcé(e),1,1999-07-01,63
